Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/collections/srup_arvores_point,63644,213,65,89.72903113665194,1.171332000012626,6221.284152001317,5259.339246433286,530.2052337820209,1.7744597259061412,65,72,78,83,98,120,230,1000,2600,4900,6200
,Aggregated,63644,213,65,89.72903113665194,1.171332000012626,6221.284152001317,5259.339246433286,530.2052337820209,1.7744597259061412,65,72,78,83,98,120,230,1000,2600,4900,6200
