Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/collections/cosc2018,88484,0,67,75.55835594980991,35.130455999933474,3379.5131419992686,2917.0,737.1254267267071,0.0,67,75,80,84,98,110,130,160,3200,3200,3400
,Aggregated,88484,0,67,75.55835594980991,35.130455999933474,3379.5131419992686,2917.0,737.1254267267071,0.0,67,75,80,84,98,110,130,160,3200,3200,3400
