Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/collections/srup_arvores_point/tiles,32561,125,60,162.8010843926744,5.301814000631566,13104.564700000992,2866.951506403366,271.26545720462076,1.0413741024715946,60,68,77,84,140,790,1500,2200,9600,9800,13000
,Aggregated,32561,125,60,162.8010843926744,5.301814000631566,13104.564700000992,2866.951506403366,271.26545720462076,1.0413741024715946,60,68,77,84,140,790,1500,2200,9600,9800,13000
