Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/collections/srup_arvores_point/tiles,98338,0,63,67.18386693581466,34.712550999756786,597.8698040007657,2779.0,819.093571151526,0.0,63,69,74,77,87,100,120,130,260,420,600
,Aggregated,98338,0,63,67.18386693581466,34.712550999756786,597.8698040007657,2779.0,819.093571151526,0.0,63,69,74,77,87,100,120,130,260,420,600
